127.0.0.1 - - [29/Apr/2021:15:37:39 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:37:39 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:40:04 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:40:45 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:40:45 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:41:28 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:45:57 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:47:55 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:47:55 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:55:01 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:55:33 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [29/Apr/2021:15:58:49 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:00:26 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:03:54 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:05:01 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:05:21 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:06:42 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:08:50 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:10:31 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:11:24 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:12:31 +0900] "GET /21.04.29/ex01.html HTTP/1.1" 200 399
